matricula_id,aluno,responsavel,curso,turno,situacao,mensalidade,data_matricula
5070,Daniela Kunz   ,Bianca Pilla,Enfermagem,Manhã,CONCLUIDO,500.00,2025-04-17
5071,Fernanda Moraes Silva,Priscila Rocha Rossi,Técnico em Logística,Noite,Evadido,330.00,2026-01-19
5072,Camila Goulart Pilla,Bruna Moraes,Enfermagem,Tarde,Evadido,480.00,2026-06-08
5073,Aline Nunes Beltrame,Ana Santos,Técnico em Administração,Manhã,Cursando,310.00,2025-05-07
5074,Bruno Oliveira Costa,Gabriela Fagundes Almeida,Enfermagem,Noite,Concluído,480.00,2025-02-23
5075,Mariana Oliveira,Rafael Costa,Técnico em Enfermagem,Tarde,Concluído,500.00,2025-09-14
5076,Nathalia Cardoso,Maria Cardoso Feltrin,TECNICO EM LOGISTICA,Noite,Cursando,320.00,2026-01-08
5077,Adriana Martins,Rafael Moraes,Técnico em Administração,Noite,Cursando,320.00,2025-06-17
5078,Vinicius Trindade,Pedro Silva Lima,Técnico em Enfermagem,Manhã,CURSANDO,460.00,2026-02-02
5079,Sergio Lima Pereira,Rosane Moraes,Técnico em Contabilidade ,Noite,Cursando,320.00,2025-06-10
5080,Nelson Pilla,Carla Sartori Zanella,Técnico em Administração,Tarde,CURSANDO,320.00,2026-05-16
5081,Rosane Trindade Weber,Amanda Costa Brum,Técnico em Enfermagem,Noite,Evadido,480.00,2025-09-23
5082,Luciana Fontoura,Rosane Beltrame,SEGURANCA DO TRABALHO,Noite,Concluído,300.00,2026-02-17
5083,Otavio Beltrame,Adriana Carvalho,Técnico em Contabilidade,Noite,Cursando,310.00,2026-02-27
5084,Otavio Bueno,Cristiane Machado,TECNICO EM ADMINISTRACAO,Tarde,Cursando,330.00,2026-01-29
5085,Adriana Feltrin,Nelson Schneider,Técnico em Estética,Noite,CURSANDO,430.00,2025-10-11
5086,Daniela Cardoso,Daniela Gomes Brum,Técnico em Administração,Manhã,Cursando,340.00,2026-05-28
5087,Ana Marques,Fabio Menezes Barcellos,Técnico em Segurança do Trabalho,Manhã,Cursando,290.00,2026-07-28
5088,Pedro Goulart   ,Fernanda Moraes Marques,Técnico em Logística,Noite,Evadido,330.00,2025-12-29
5089,Jessica Martins Sartori,Vinicius Santos Barcellos,Técnico em Informática,Manhã,CURSANDO,400.00,2025-11-21
5090,  Fernanda Marques,Eduarda Cardoso,Técnico em Informática,Noite,Cursando,390.00,2026-04-29
5091,Felipe Weber Marques,Aline Bueno,SEGURANCA DO TRABALHO,Noite,CURSANDO,320.00,2025-11-09
5092,Aline Menezes Pilla,Matheus Bortolotto,Técnico em Informática,Noite,Cursando,390.00,2025-02-11
5093,Jonas Zanella Sartori,Juliana Souza,Técnico em Enfermagem,Manhã,Cursando,480.00,2025-07-01
5094,Everton Trindade,Eduarda Fontoura,TECNICO EM ADMINISTRACAO,Noite,CONCLUIDO,310.00,2026-03-07
5095,Vanessa Pereira,Simone Machado,Enfermagem,Noite,CURSANDO,500.00,2026-03-05
5096,Luciana Santos,Daniela Dutra,Técnico em Informática,Manhã,Concluído,390.00,2026-01-08
5097,Everton Cardoso Costa   ,Larissa Lima,Técnico em Administração,Manhã,Concluído,310.00,2026-03-26
5098,  Elisa Silva,Priscila Santos Ribeiro,Técnico em Enfermagem,Manhã,CURSANDO,490.00,2025-11-25
5099,Bianca Weber,Lucas Carvalho,TECNICO EM ADMINISTRACAO,Noite,Concluído,300.00,2026-05-29
5100,Amanda Souza Marques,Priscila Rocha,TECNICO EM ADMINISTRACAO,Manhã,CONCLUIDO,330.00,2025-02-26
5101,  Ana Moraes,Patricia Silva,Técnico em Logística,Tarde,Cursando,350.00,2025-12-16
5102,Priscila Vargas,Gustavo Costa,Técnico em Enfermagem,Noite,CURSANDO,460.00,2026-06-20
5103,Sabrina Silva Fontoura,Alexandre Pilla,TECNICO EM CONTABILIDADE,Noite,EVADIDO,320.00,2025-04-14
5104,Vinicius Vargas,Everton Menezes,Técnico em Logística,Noite,CURSANDO,330.00,2026-06-02
5105,Gabriela Rocha,Daniela Ferreira,TECNICO EM ADMINISTRACAO,Noite,Cursando,320.00,2025-06-25
5106,Mariana Oliveira,Bruno Gomes,TECNICO EM ADMINISTRACAO ,Manhã,Cursando,340.00,2025-11-24
5107,Andre Barcellos   ,Elisa Goulart Weber,SEGURANCA DO TRABALHO,Noite,Cursando,290.00,2026-02-02
5108,Paulo Rodrigues Fontoura,Jonas Marques,TECNICO EM ADMINISTRACAO,Tarde,Concluído,320.00,2025-09-24
5109,Leonardo Oliveira,Elisa Weber Schneider,Técnico em Contabilidade,Tarde,CONCLUIDO,310.00,2025-03-05
5110,Adriana Barcellos Rocha,Douglas Lima Sartori,Técnico em Estética,Noite,Concluído,410.00,2025-08-04
5111,Mariana Weber,Aline Gomes,TECNICO EM ESTETICA,Manhã,Cursando,420.00,2026-07-04
5112,Priscila Almeida,Vanessa Martins,TECNICO EM CONTABILIDADE,Tarde,Evadido,290.00,2025-06-18
5113,Priscila Goulart   ,Paulo Pereira Fontoura,Técnico em Administração,Manhã,Evadido,310.00,2026-06-03
5114,Lucas Trindade,Patricia Weber,TECNICO EM ADMINISTRACAO,Manhã,CURSANDO,330.00,2026-02-27
5115,Joao Beltrame,Daniela Vargas,Técnico em Contabilidade,Noite,Concluído,300.00,2025-08-01
5116,Douglas Rocha,Jessica Moraes Rodrigues,Técnico em Segurança do Trabalho,Noite,Concluído,290.00,2026-07-09
5117,Matheus Schneider,Andre Costa Bueno,Técnico em Enfermagem,Tarde,CONCLUIDO,490.00,2025-09-25
5118,Nathalia Rocha,Vanessa Costa,Técnico em Administração,Noite,Evadido,320.00,2026-05-12
5119,Larissa Beltrame   ,Cesar Marques Trindade,Técnico em Informática,Noite,CONCLUIDO,390.00,2026-03-18
5120,Pedro Vargas,Ana Rocha,Técnico em Administração,Noite,Concluído,320.00,2025-11-23
5121,Jessica Barcellos,Maria Rodrigues,SEGURANCA DO TRABALHO,Noite,Cursando,280.00,2025-03-24
5122,Otavio Martins,Vinicius Weber Rossi,Técnico em Administração,Noite,CONCLUIDO,330.00,2025-06-04
5123,Bianca Zanella Gomes,Gabriela Nunes,Técnico em Informática,Manhã,Cursando,400.00,2025-05-17
5124,Matheus Fagundes,Cristiane Zanella,Técnico em Segurança do Trabalho,Noite,Concluído,310.00,2025-05-30
5125,Simone Weber Gomes   ,Bruna Weber,Técnico em Enfermagem,Manhã,Concluído,460.00,2025-12-22
5126,Jessica Goulart Barcellos,Marcos Bueno Almeida,TECNICO EM ADMINISTRACAO,Manhã,CURSANDO,300.00,2025-07-08
5127,Fernanda Lima,Sergio Almeida Lima,Técnico em Informática,Tarde,Cursando,390.00,2025-03-21
5128,Ana Kunz Rossi,Eduarda Souza,TECNICO EM ENFERMAGEM,Noite,EVADIDO,490.00,2025-07-03
5129,Elisa Zanella,Maria Barcellos,Técnico em Administração,Tarde,CURSANDO,340.00,2025-09-03
5130,Nathalia Sartori Schneider,Diego Almeida,Enfermagem,Manhã,Concluído,460.00,2026-07-07
5131,Gabriela Machado Goulart,Everton Fontoura Vargas,TECNICO EM ESTETICA,Noite,Cursando,420.00,2025-02-17
5132,  Simone Fagundes Almeida,Matheus Lima,TECNICO EM INFORMATICA,Manhã,CONCLUIDO,390.00,2025-08-05
5133,Cristiane Bortolotto,Luciana Oliveira,Técnico em Enfermagem,Noite,CONCLUIDO,470.00,2025-10-02
5134,  Mariana Dutra Dutra,Leonardo Vargas,Técnico em Segurança do Trabalho,Noite,Concluído,300.00,2026-04-01
5135,Douglas Moraes Rocha,Bianca Dutra,Técnico em Segurança do Trabalho,Noite,CURSANDO,300.00,2025-07-02
5136,Cesar Santos Trindade,Diego Bueno,Técnico em Administração,Manhã,CONCLUIDO,320.00,2026-01-11
5137,Gustavo Santos,Nathalia Cardoso Pilla,Técnico em Estética,Noite,Concluído,440.00,2025-09-06
5138,Pedro Machado Trindade,Priscila Carvalho,TECNICO EM LOGISTICA,Noite,CURSANDO,350.00,2026-06-01
5139,Maria Martins,Rosane Rossi,Técnico em Contabilidade,Noite,EVADIDO,300.00,2025-05-06
5140,Douglas Kunz   ,Ricardo Carvalho Menezes,TECNICO EM ADMINISTRACAO,Tarde,Evadido,330.00,2025-07-10
5141,Rodrigo Machado,Nathalia Ferreira,Técnico em Informática,Manhã,EVADIDO,390.00,2026-04-02
5142,Lucas Ribeiro,Leonardo Fagundes,Técnico em Segurança do Trabalho,Noite,Evadido,290.00,2025-03-26
5143,Ana Goulart Souza,,TECNICO EM ENFERMAGEM,Noite,Evadido,460.00,2025-04-18
5144,  Andre Bortolotto,Rafael Bortolotto,Técnico em Administração,Tarde,Cursando,300.00,2025-06-26
5145,Fernanda Costa Rocha,Eduardo Bortolotto,Técnico em Estética,Manhã,Evadido,400.00,2026-06-16
5146,Paulo Almeida Kunz   ,Jessica Vargas,Técnico em Segurança do Trabalho,Noite,Concluído,300.00,2025-04-22
5147,Jessica Barcellos,Pedro Lima,Técnico em Segurança do Trabalho,Manhã,CURSANDO,300.00,2026-03-20
5148,Everton Trindade,Rodrigo Feltrin Marques,TECNICO EM INFORMATICA,Noite,Cursando,410.00,2025-02-15
5149,Priscila Sartori,Camila Dutra Rossi,Técnico em Estética,Tarde,Concluído,400.00,2025-09-21
5150,Aline Weber Feltrin   ,Rodrigo Silva,Técnico em Informática,Manhã,Cursando,390.00,2026-05-12
5151,Leonardo Fagundes   ,Daniela Beltrame,Técnico em Administração,Manhã,Evadido,340.00,2025-11-05
5152,Everton Beltrame,Bruna Oliveira Rodrigues,Técnico em Segurança do Trabalho,Manhã,Cursando,300.00,2025-04-09
5153,Simone Schneider,Amanda Almeida Cardoso,Técnico em Segurança do Trabalho,Manhã,Cursando,280.00,2025-12-04
5154,Daniela Rossi,Aline Fagundes,Técnico em Enfermagem ,Tarde,Evadido,480.00,2026-01-24
5155,Renata Moraes,Gabriela Rodrigues,TECNICO EM CONTABILIDADE,Noite,CONCLUIDO,330.00,2025-12-22
5156,Luciana Souza,Sabrina Barcellos Schneider,Técnico em Informática,Noite,Evadido,390.00,2026-03-23
5157,Fernanda Souza Gomes,Priscila Marques,Técnico em Administração,Noite,Evadido,310.00,2025-06-20
5158,Patricia Marques,Vinicius Ferreira Souza,Técnico em Contabilidade,Noite,Cursando,310.00,2025-04-24
5159,  Rosane Barcellos Fontoura,Alexandre Dutra,Técnico em Administração,Tarde,Concluído,320.00,2025-05-21
5160,Jonas Brum,Bruna Rossi,Enfermagem,Tarde,Concluído,460.00,2026-01-08
5161,Bianca Fontoura Pereira,Camila Costa,Técnico em Enfermagem,Noite,CURSANDO,490.00,2025-12-09
5162,Gustavo Barcellos,Rodrigo Goulart Pilla,TECNICO EM ADMINISTRACAO ,Tarde,Evadido,310.00,2025-12-16
5163,Jessica Martins Gomes,Rafael Lima Vargas,TECNICO EM CONTABILIDADE,Noite,EVADIDO,310.00,2026-02-05
5164,Jonas Lima,Luciana Schneider Machado,Enfermagem,Noite,CONCLUIDO,480.00,2026-07-11
5165,Bianca Martins,Adriana Fagundes,TECNICO EM ENFERMAGEM,Noite,Evadido,480.00,2025-05-17
5166,Gabriela Fontoura,Rosane Weber Costa,Técnico em Logística ,Noite,CURSANDO,340.00,2025-03-31
5167,  Maicon Pilla,,Técnico em Logística,Tarde,CONCLUIDO,350.00,2025-03-13
5168,  Bianca Santos,Alexandre Barcellos,Técnico em Enfermagem,Manhã,Evadido,500.00,2025-07-08
5169,Marcos Vargas   ,Tiago Gomes,Técnico em Administração,Manhã,Cursando,320.00,2025-03-20
5170,Patricia Menezes,Sergio Ferreira Bortolotto,TECNICO EM ADMINISTRACAO,Manhã,Evadido,310.00,2025-07-11
5171,Jessica Feltrin Cardoso,Camila Fontoura Cardoso,Técnico em Administração,Manhã,Cursando,310.00,2026-04-26
5172,  Gabriela Fontoura,,Técnico em Logística,Noite,CURSANDO,340.00,2025-03-31
5173,Gustavo Barcellos,Rodrigo Goulart Pilla,TECNICO EM ADMINISTRACAO,Tarde,Evadido,310.00,2025-12-16
5174,Aline Oliveira Rodrigues,Paulo Moraes,Técnico em Administração,Tarde,EVADIDO,310.00,2025-06-23
5175,Alexandre Oliveira Rodrigues,Cesar Vargas Sartori,TECNICO EM ESTETICA,Noite,CONCLUIDO,400.00,2025-07-22
5176,Gabriela Dutra   ,Luciana Vargas,TECNICO EM INFORMATICA,Noite,Concluído,370.00,2026-03-17
5177,Gabriela Fagundes Rodrigues,,Técnico em Contabilidade,Manhã,CURSANDO,310.00,2025-07-18
5178,Bianca Oliveira,Luciana Ribeiro,TECNICO EM ADMINISTRACAO,Noite,Cursando,340.00,2026-06-24
5179,Bruna Kunz,Joao Schneider,TECNICO EM LOGISTICA,Tarde,Concluído,350.00,2025-04-30
5180,Sergio Carvalho Moraes   ,Vinicius Cardoso Fontoura,TECNICO EM ADMINISTRACAO,Manhã,EVADIDO,330.00,2025-12-31
5181,  Gabriela Zanella,,Técnico em Informática,Manhã,Evadido,410.00,2025-09-09
5182,  Rafael Lima Kunz,Luciana Machado,Técnico em Segurança do Trabalho,Tarde,Cursando,300.00,2026-03-31
5183,Adriana Feltrin,Nelson Schneider,Técnico em Estética,Noite,CURSANDO,430.00,2025-10-11
5184,Pedro Vargas,Gustavo Trindade,Técnico em Informática ,Noite,CURSANDO,400.00,2026-02-20
5185,Bruno Weber Marques,Ricardo Costa,Técnico em Enfermagem,Noite,EVADIDO,490.00,2025-07-04
5186,Lucas Rodrigues Rossi,Felipe Fagundes Menezes,Técnico em Estética,Noite,CURSANDO,440.00,2025-02-21
5187,Douglas Schneider,Otavio Feltrin,Técnico em Administração,Noite,Evadido,310.00,2026-04-22
5188,Nathalia Pereira Beltrame,Rosane Menezes Marques,TECNICO EM ADMINISTRACAO ,Noite,Concluído,320.00,2026-05-07
5189,Rosane Menezes,Eduarda Martins Weber,Técnico em Logística,Manhã,Cursando,340.00,2025-05-11
5190,Nathalia Lima Marques,Eduardo Santos,Técnico em Enfermagem,Manhã,EVADIDO,480.00,2026-06-25
5191,Douglas Pilla,Joao Nunes,Técnico em Segurança do Trabalho,Noite,Concluído,300.00,2025-03-12
5192,  Everton Pereira,Vinicius Bortolotto,Técnico em Informática,Manhã,Evadido,370.00,2026-06-15
5193,Nelson Almeida,Felipe Carvalho Fagundes,Técnico em Informática,Manhã,Cursando,370.00,2026-01-30
5194,Ana Rossi Ferreira,Vinicius Kunz,Técnico em Informática,Noite,Evadido,380.00,2025-08-20
5195,Aline Brum,Elisa Machado,TECNICO EM CONTABILIDADE,Noite,Evadido,330.00,2025-09-09
5196,Nelson Souza,Maria Rodrigues,TECNICO EM ADMINISTRACAO,Noite,EVADIDO,320.00,2026-05-21
5197,Adriana Beltrame,Willian Lima,Técnico em Logística,Tarde,CURSANDO,330.00,2026-03-30
5198,Ricardo Trindade,Marcos Almeida,Técnico em Administração,Manhã,Cursando,330.00,2026-05-03
5199,Tatiane Beltrame Moraes,Leticia Martins,Técnico em Segurança do Trabalho,Manhã,Concluído,310.00,2025-10-01
5200,Tatiane Ribeiro,Willian Zanella,Técnico em Informática,Manhã,Concluído,400.00,2026-02-26
5201,Vanessa Moraes,Mariana Menezes Vargas,Técnico em Contabilidade,Tarde,CURSANDO,320.00,2025-02-05
5202,  Priscila Goulart,Matheus Ferreira,TECNICO EM INFORMATICA ,Manhã,CURSANDO,410.00,2025-05-17
5203,Sabrina Almeida,,Técnico em Logística,Noite,CURSANDO,350.00,2026-06-13
5204,  Simone Oliveira,Fabio Vargas Ribeiro,TECNICO EM ESTETICA,Noite,Concluído,440.00,2025-12-09
5205,  Douglas Moraes Rocha,Bianca Dutra,Técnico em Segurança do Trabalho,Noite,CURSANDO,300.00,2025-07-02
5206,Bianca Beltrame Costa,Simone Brum,Enfermagem,Manhã,Evadido,470.00,2025-11-17
5207,Juliana Costa,Tiago Fontoura Fontoura,Técnico em Informática,Manhã,CURSANDO,400.00,2025-06-12
5208,Fabio Rodrigues,Leticia Dutra,Técnico em Administração,Noite,Concluído,300.00,2026-07-28
5209,  Matheus Marques,Bruna Pereira,Técnico em Estética,Noite,EVADIDO,410.00,2026-04-29
5210,Ricardo Fagundes Martins   ,Luciana Moraes Pereira,Técnico em Estética,Noite,Cursando,430.00,2025-10-03
5211,Simone Dutra,Bruno Almeida,Técnico em Administração,Manhã,CONCLUIDO,310.00,2026-04-03
5212,Leticia Goulart,Amanda Nunes Martins,TECNICO EM ADMINISTRACAO,Noite,CURSANDO,320.00,2026-05-19
5213,Matheus Schneider Rodrigues,Tatiane Rossi,Técnico em Estética,Manhã,Cursando,420.00,2025-03-24
5214,Rodrigo Sartori,Rafael Rodrigues Beltrame,Técnico em Administração,Noite,CURSANDO,340.00,2026-07-04
5215,Bruna Vargas,Rafael Santos,Técnico em Segurança do Trabalho,Manhã,CURSANDO,280.00,2025-08-08
5216,Pedro Marques,Aline Silva Martins,Técnico em Administração,Noite,Cursando,340.00,2025-03-28
5217,Maria Silva,Douglas Costa Trindade,Técnico em Administração,Tarde,CURSANDO,320.00,2026-02-23
5218,Ana Costa Rodrigues,Rafael Dutra Bueno,Técnico em Segurança do Trabalho,Tarde,Evadido,320.00,2025-08-24
5219,Tiago Ribeiro Kunz,Cristiane Goulart,Técnico em Administração,Noite,Cursando,310.00,2025-09-22
5220,Maicon Pilla,Ana Goulart Zanella,Técnico em Logística,Tarde,CONCLUIDO,350.00,2025-03-13
5221,Thiago Barcellos Cardoso,Carla Machado,Enfermagem,Noite,CURSANDO,470.00,2025-09-12
5222,Alexandre Costa Trindade,Camila Schneider,TECNICO EM ADMINISTRACAO,Noite,EVADIDO,330.00,2026-04-07
5223,Marcos Marques Goulart,Matheus Cardoso Rodrigues,Técnico em Logística,Manhã,Concluído,340.00,2026-06-08
5224,Juliana Pilla Souza   ,Thiago Feltrin Beltrame,Técnico em Enfermagem,Manhã,CONCLUIDO,500.00,2025-09-07
5225,Bruno Schneider,Joao Dutra,Técnico em Contabilidade,Tarde,Evadido,320.00,2026-05-02
5226,Nathalia Silva,Juliana Costa Costa,Técnico em Contabilidade,Noite,Cursando,290.00,2026-03-27
5227,Ricardo Menezes,Tatiane Zanella Zanella,TECNICO EM INFORMATICA,Noite,Concluído,390.00,2025-07-24
5228,Mariana Zanella Marques,Gabriela Rossi,Técnico em Logística,Tarde,Cursando,330.00,2025-02-28
5229,Gabriela Oliveira,Patricia Rocha,Técnico em Contabilidade,Manhã,Cursando,310.00,2026-02-03
5230,Cesar Machado,Vanessa Pereira,Técnico em Informática,Noite,Cursando,380.00,2025-07-27
5231,Adriana Bortolotto,Sergio Nunes Rossi,Técnico em Estética,Manhã,CONCLUIDO,420.00,2026-07-07
5232,Juliana Sartori Pilla,Joao Ferreira,TECNICO EM CONTABILIDADE,Tarde,Cursando,290.00,2025-04-21
5233,Aline Weber Feltrin,Rodrigo Silva,Técnico em Informática,Manhã,Cursando,390.00,2026-05-12
5234,  Sergio Santos,Rosane Souza,Técnico em Informática ,Manhã,Concluído,390.00,2026-03-07
5235,Andre Souza Beltrame,Gustavo Ribeiro,TECNICO EM CONTABILIDADE,Manhã,Cursando,310.00,2025-11-10
5236,Fabio Menezes Goulart,Paulo Almeida,Técnico em Logística,Tarde,Evadido,330.00,2026-06-08
5237,Leonardo Costa,Eduardo Moraes,Técnico em Estética,Noite,Cursando,440.00,2025-09-18
5238,Thiago Fontoura,Daniela Barcellos Marques,Técnico em Enfermagem,Noite,EVADIDO,470.00,2025-06-22
5239,Adriana Gomes Zanella,Rodrigo Goulart,Técnico em Informática,Noite,Cursando,390.00,2025-05-22
5240,Priscila Silva,Gabriela Souza,Técnico em Segurança do Trabalho,Noite,Concluído,280.00,2025-07-05
