pedido_id,data,cliente,cidade,vendedor,categoria,produto,quantidade,valor_unitario,frete,canal,status
90045,2026-07-09,Nelson Ribeiro,Cachoeira do Sul,Ivan Bortolotto,Construção,Item 298,1,"R$ 234,69","R$ 0,00",Loja física,Faturado
90046,2026-08-18,Alexandre Dutra Silva,Restinga Sêca,Rosane Pilla,Jardinagem,Item 122,5,"R$ 99,72","R$ 23,25",WhatsApp,Faturado
90047,2026-01-02,Camila Sartori,São Sepé,Rosane Pilla,Construção,Item 317,1,"R$ 283,56","R$ 52,78",WhatsApp,Faturado
90048,2026-06-11,Bruno Bueno,São Sepé,Cleber Antunes,Tintas,Item 106,2,"R$ 135,06","R$ 0,00",Loja física,Faturado
90049,2026-08-04,Rosane Weber Kunz,Santa Maria,Ivan Bortolotto,Ferramentas,Item 365,2,"R$ 205,19","R$ 52,23",WhatsApp,Faturado
90050,2026-08-28,Maria Bortolotto Rodrigues,Santa Maria,Sergio Weber,JARDINAGEM,Item 214,4,"R$ 80,67","R$ 41,23",Site,Faturado
90051,2026-08-12,Luciana Silva Zanella,Santa Maria,Sergio Weber,Jardinagem,Item 192,3,"R$ 60,05","R$ 0,00",Loja física,Faturado
90052,2026-08-27,Joao Gomes,Restinga Sêca,Cleber Antunes,Construção,Item 114,2,"R$ 236,80","R$ 57,48",WhatsApp,Faturado
90053,2026-03-20,Daniela Pilla,Restinga Sêca,Marta Dutra,Ferramentas,Item 125,3,"R$ 94,57","R$ 26,25",WhatsApp,Faturado
90054,2026-05-27,Eduarda Zanella,Santa Maria,Cleber Antunes,ELETRICA,Item 268,6,"R$ 92,05","R$ 0,00",Loja física,Faturado
90055,2026-08-05,Mariana Rossi,Santa Maria,Ivan Bortolotto,HIDRAULICA,Item 118,4,"R$ 67,67","R$ 0,00",Loja física,Faturado
90056,2026-03-23,Leticia Bueno,São Sepé,Cleber Antunes,Jardinagem,Item 334,4,"R$ 114,11","R$ 45,81",Site,Faturado
90057,2026-03-25,Ana Bueno,São Sepé,Marta Dutra,JARDINAGEM,Item 124,4,"R$ 84,48","R$ 46,83",Telefone,Faturado
90058,2026-06-29,Gabriela Vargas Gomes,Restinga Sêca,Ivan Bortolotto,Tintas,Item 368,1,"R$ 284,34","R$ 43,72",Site,Faturado
90059,2026-05-07,Priscila Bueno,Santa Maria,Cleber Antunes,ELETRICA,Item 365,5,"R$ 43,83","R$ 0,00",Loja física,Faturado
90060,2026-01-16,Larissa Brum Pilla,São Sepé,Cleber Antunes,Hidráulica,Item 232,3,"R$ 77,05","R$ 23,66",Site,Faturado
90061,2026-07-30,Gustavo Lima Cardoso,Restinga Sêca,Ivan Bortolotto,CONSTRUCAO,Item 265,1,"R$ 358,53","R$ 41,28",WhatsApp,Faturado
90062,2026-01-16,Rafael Cardoso Nunes,Restinga Sêca,Rosane Pilla,Ferramentas,Item 122,2,"R$ 141,82","R$ 19,78",Site,Faturado
90063,2026-07-09,Nelson Sartori,São Sepé,Marta Dutra,Jardinagem,Item 102,4,"R$ 56,40","R$ 0,00",Loja física,Faturado
90064,2026-04-08,Renata Goulart Ribeiro,Restinga Sêca,Cleber Antunes,JARDINAGEM,Item 261,2,"R$ 85,42","R$ 20,28",Telefone,Faturado
90065,2026-04-07,Larissa Carvalho Zanella,Santa Maria,Cleber Antunes,Hidráulica,Item 256,1,"R$ 77,25","R$ 24,54",Telefone,Faturado
90066,2026-04-20,Tiago Souza,Júlio de Castilhos,Cleber Antunes,JARDINAGEM,Item 261,3,"R$ 114,30","R$ 42,47",Telefone,Faturado
90067,2026-05-11,Douglas Souza Dutra,Júlio de Castilhos,Ivan Bortolotto,Ferramentas ,Item 261,3,"R$ 94,22","R$ 40,18",Telefone,Faturado
90068,2026-07-27,Larissa Weber Vargas,Santa Maria,Marta Dutra,Jardinagem ,Item 374,1,"R$ 96,48","R$ 27,55",Telefone,Faturado
90069,2026-02-25,Elisa Ribeiro Brum,São Sepé,Cleber Antunes,Hidráulica,Item 198,6,"R$ 52,82","R$ 0,00",Loja física,Faturado
90070,2026-06-10,Sergio Souza Pilla,Júlio de Castilhos,Marta Dutra,Elétrica,Item 122,4,"R$ 73,97","R$ 0,00",Loja física,Faturado
90071,2026-08-06,Lucas Pereira,São Sepé,Cleber Antunes,Tintas,Item 289,1,"R$ 138,25","R$ 0,00",Loja física,Faturado
90072,2026-02-23,Adriana Weber,Cachoeira do Sul,Sergio Weber,Ferramentas,Item 358,1,"R$ 153,30","R$ 33,92",WhatsApp,Faturado
90073,2026-04-01,Cesar Feltrin,São Sepé,Rosane Pilla,Tintas,Item 116,5,"R$ 207,72","R$ 0,00",Loja física,Faturado
90074,2026-02-23,Bruna Sartori,Restinga Sêca,Ivan Bortolotto,Tintas,Item 130,2,"R$ 205,14","R$ 0,00",Loja física,Faturado
90075,2026-08-18,Gabriela Marques,Santa Maria,Rosane Pilla,Jardinagem,Item 173,1,"R$ 79,79","R$ 29,90",Site,Faturado
90076,2026-02-03,Eduarda Fontoura,Cachoeira do Sul,Ivan Bortolotto,FERRAMENTAS,Item 334,1,"R$ 153,72","R$ 51,38",WhatsApp,Faturado
90077,2026-04-14,Amanda Marques,Santa Maria,Marta Dutra,JARDINAGEM,Item 233,1,"R$ 126,20","R$ 22,11",WhatsApp,Faturado
90078,2026-01-26,Andre Barcellos,Cachoeira do Sul,Cleber Antunes,Hidráulica,Item 225,1,"R$ 77,38","R$ 18,01",WhatsApp,Cancelado
90079,2026-04-16,Matheus Dutra,São Sepé,Cleber Antunes,Hidráulica,Item 195,5,"R$ 91,52","R$ 0,00",Loja física,Faturado
90080,2026-08-27,Paulo Nunes Sartori,Santa Maria,Rosane Pilla,CONSTRUCAO,Item 326,3,"R$ 295,75","R$ 0,00",Loja física,Faturado
90081,2026-07-13,Rodrigo Feltrin,Santa Maria,Cleber Antunes,Jardinagem,Item 200,1,"R$ 73,52","R$ 0,00",Loja física,Faturado
90082,2026-03-26,Daniela Ribeiro,Santa Maria,Sergio Weber,Construção,Item 150,2,"R$ 384,57","R$ 24,78",WhatsApp,Faturado
90083,2026-06-01,Rosane Feltrin Ferreira,Cachoeira do Sul,Ivan Bortolotto,CONSTRUCAO,Item 120,1,"R$ 224,94","R$ 0,00",Loja física,Faturado
90084,2026-05-22,Camila Sartori,Cachoeira do Sul,Rosane Pilla,Ferramentas,Item 315,4,"R$ 122,12","R$ 0,00",Loja física,Faturado
90085,2026-05-04,Felipe Rodrigues Brum,São Sepé,Cleber Antunes,Ferramentas,Item 366,1,"R$ 215,05","R$ 0,00",Loja física,Faturado
90086,2026-08-06,Nelson Dutra,São Sepé,Ivan Bortolotto,ELETRICA,Item 276,4,"R$ 93,68","R$ 0,00",Loja física,Faturado
90087,2026-06-03,Daniela Pilla,Júlio de Castilhos,Rosane Pilla,Ferramentas,Item 138,3,"R$ 138,56","R$ 54,23",Telefone,Faturado
90088,2026-03-30,Gabriela Souza,Restinga Sêca,Rosane Pilla,Ferramentas,Item 263,1,"R$ 242,63","R$ 33,61",Telefone,Faturado
90089,2026-03-16,Vanessa Lima Martins,Santa Maria,Marta Dutra,Construção,Item 239,2,"R$ 312,39","R$ 39,58",Telefone,Faturado
90090,2026-07-06,Rodrigo Lima,São Sepé,Rosane Pilla,Elétrica,Item 148,5,"R$ 45,55","R$ 19,10",Site,Faturado
90091,2026-01-21,Vanessa Rocha,Restinga Sêca,Rosane Pilla,Ferramentas,Item 376,1,"R$ 157,33","R$ 0,00",Loja física,Faturado
90092,2026-08-19,Rodrigo Nunes Martins,Restinga Sêca,Sergio Weber,JARDINAGEM,Item 351,2,"R$ 155,63","R$ 0,00",Loja física,Faturado
90093,2026-02-03,Alexandre Fontoura,Santa Maria,Marta Dutra,CONSTRUCAO,Item 307,2,"R$ 141,40","R$ 49,23",Telefone,Faturado
90094,2026-03-16,Cristiane Costa,Cachoeira do Sul,Sergio Weber,Hidráulica,Item 252,1,"R$ 98,88","R$ 18,27",WhatsApp,Faturado
90095,2026-03-27,Douglas Almeida Fagundes,Restinga Sêca,Rosane Pilla,Ferramentas,Item 282,6,"R$ 190,23","R$ 0,00",Loja física,Faturado
90096,2026-02-11,Willian Ribeiro,São Sepé,Cleber Antunes,Elétrica,Item 207,5,"R$ 51,56","R$ 54,45",Telefone,Faturado
90097,2026-01-12,Marcos Trindade,Santa Maria,Sergio Weber,JARDINAGEM,Item 234,4,"R$ 85,83","R$ 24,00",Site,Faturado
90098,2026-08-28,Gabriela Rossi,Santa Maria,Ivan Bortolotto,ELETRICA,Item 133,1,"R$ 59,24","R$ 0,00",Loja física,Faturado
90099,2026-03-03,Tatiane Fagundes,Cachoeira do Sul,Cleber Antunes,Tintas,Item 220,4,"R$ 282,16","R$ 0,00",Loja física,Faturado
90100,2026-03-06,Patricia Dutra Kunz,São Sepé,Rosane Pilla,ELETRICA,Item 203,2,"R$ 90,38","R$ 53,12",WhatsApp,Faturado
90101,2026-06-11,Nelson Trindade,Cachoeira do Sul,Rosane Pilla,Jardinagem,Item 113,6,"R$ 134,61","R$ 57,60",Site,Faturado
90102,2026-02-05,Bianca Lima,Restinga Sêca,Sergio Weber,Ferramentas,Item 314,2,"R$ 148,99","R$ 60,00",WhatsApp,Faturado
90103,2026-03-04,Tiago Pilla,Restinga Sêca,Ivan Bortolotto,Jardinagem,Item 345,2,"R$ 81,76","R$ 63,54",Telefone,Faturado
90104,2026-02-12,Tatiane Pilla,São Sepé,Cleber Antunes,Ferramentas,Item 114,6,"R$ 229,09","R$ 61,77",Telefone,Faturado
90105,2026-05-20,Cristiane Lima Nunes,Júlio de Castilhos,Cleber Antunes,Ferramentas,Item 304,2,"R$ 167,86","R$ 44,36",Telefone,Faturado
90106,2026-08-05,Fernanda Rocha,São Sepé,Ivan Bortolotto,Construção,Item 226,3,"R$ 337,80","R$ 52,78",Telefone,Faturado
90107,2026-08-07,Matheus Souza,Restinga Sêca,Ivan Bortolotto,Elétrica,Item 274,2,"R$ 92,15","R$ 0,00",Loja física,Faturado
90108,2026-02-16,Camila Oliveira,Santa Maria,Marta Dutra,Construção,Item 371,5,"R$ 198,76","R$ 43,73",WhatsApp,Faturado
90109,2026-07-31,Vanessa Trindade Bortolotto,Santa Maria,Ivan Bortolotto,Jardinagem,Item 258,4,"R$ 114,86","R$ 0,00",Loja física,Faturado
90110,2026-03-27,Mariana Pilla,São Sepé,Cleber Antunes,CONSTRUCAO,Item 208,4,"R$ 343,60","R$ 35,44",Telefone,Faturado
90111,2026-08-03,Diego Beltrame Vargas,Santa Maria,Marta Dutra,Hidráulica,Item 348,3,"R$ 52,51","R$ 56,68",Site,Faturado
90112,2026-01-02,Camila Schneider Brum,Santa Maria,Marta Dutra,Elétrica,Item 243,5,"R$ 49,44","R$ 0,00",Loja física,Faturado
90113,2026-03-27,Tatiane Zanella,Santa Maria,Ivan Bortolotto,Elétrica,Item 226,2,"R$ 62,93","R$ 0,00",Loja física,Faturado
90114,2026-03-18,Aline Feltrin,Santa Maria,Marta Dutra,CONSTRUCAO ,Item 271,1,,"R$ 0,00",Loja física,Faturado
90115,2026-05-12,Jessica Rossi,Cachoeira do Sul,Cleber Antunes,Tintas,Item 264,1,"R$ 220,28","R$ 21,59",WhatsApp,Faturado
90116,2026-06-09,Willian Pereira Machado,Júlio de Castilhos,Marta Dutra,Construção,Item 280,0,"R$ 221,81","R$ 49,01",Site,Faturado
90117,2026-08-06,Maria Sartori,São Sepé,Rosane Pilla,Tintas,Item 299,5,"R$ 144,56","R$ 0,00",Loja física,Faturado
90118,2026-01-12,Sabrina Weber,Restinga Sêca,Ivan Bortolotto,Ferramentas,Item 176,1,"R$ 157,00","R$ 32,97",Site,Faturado
90119,2026-06-09,Nathalia Moraes,Santa Maria,Marta Dutra,JARDINAGEM,Item 333,1,"R$ 88,41","R$ 41,55",WhatsApp,Cancelado
90120,2026-01-08,Otavio Zanella,Cachoeira do Sul,Ivan Bortolotto,HIDRAULICA,Item 311,2,"R$ 118,88","R$ 0,00",Loja física,Faturado
90121,2026-08-07,Simone Almeida,Restinga Sêca,Marta Dutra,Ferramentas,Item 119,3,"R$ 214,46","R$ 30,71",WhatsApp,Faturado
90122,2026-02-27,Luciana Fontoura,São Sepé,Ivan Bortolotto,HIDRAULICA,Item 131,1,"R$ 58,97","R$ 27,27",Telefone,Faturado
90123,2026-04-23,Camila Marques,Santa Maria,Cleber Antunes,Jardinagem,Item 305,3,"R$ 56,97","R$ 0,00",Loja física,Faturado
90124,2026-01-16,Gabriela Pereira,Restinga Sêca,Rosane Pilla,Elétrica,Item 299,3,"R$ 71,88","R$ 0,00",Loja física,Faturado
90125,2026-01-15,Aline Pereira,São Sepé,Cleber Antunes,FERRAMENTAS,Item 190,1,"R$ 99,34","R$ 42,29",Telefone,Faturado
90126,2026-06-04,Fabio Feltrin,Júlio de Castilhos,Cleber Antunes,Construção,Item 261,4,"R$ 238,41","R$ 54,41",WhatsApp,Faturado
90127,2026-05-08,Paulo Gomes Cardoso,Santa Maria,Cleber Antunes,Elétrica,Item 284,2,"R$ 78,98","R$ 18,99",WhatsApp,Faturado
90128,2026-05-25,Felipe Beltrame,São Sepé,Cleber Antunes,Tintas,Item 202,1,"R$ 222,04","R$ 23,03",Telefone,Faturado
90129,2026-02-24,Nelson Oliveira,Júlio de Castilhos,Cleber Antunes,FERRAMENTAS,Item 251,3,"R$ 223,88","R$ 26,87",WhatsApp,Faturado
90130,2026-03-06,Jessica Vargas Gomes,Júlio de Castilhos,Rosane Pilla,Elétrica ,Item 204,2,"R$ 74,46","R$ 20,98",Site,Faturado
90131,2026-02-13,Maicon Zanella,Santa Maria,Marta Dutra,Construção,Item 168,2,"R$ 290,28","R$ 0,00",Loja física,Faturado
90132,2026-06-10,Jessica Costa,Restinga Sêca,Cleber Antunes,TINTAS,Item 241,1,"R$ 271,58","R$ 0,00",Loja física,Faturado
90133,2026-05-22,Cesar Kunz Almeida,São Sepé,Cleber Antunes,FERRAMENTAS,Item 258,3,"R$ 128,98","R$ 35,41",WhatsApp,Faturado
90134,2026-03-02,Bruna Oliveira Kunz,Júlio de Castilhos,Cleber Antunes,TINTAS,Item 117,2,"R$ 122,60","R$ 58,42",WhatsApp,Faturado
90135,2026-08-10,Fabio Weber,Santa Maria,Rosane Pilla,CONSTRUCAO,Item 181,1,"R$ 160,23","R$ 0,00",Loja física,Faturado
90136,2026-02-06,Elisa Menezes,Santa Maria,Sergio Weber,Construção,Item 101,4,"R$ 347,01","R$ 36,57",Telefone,Faturado
90137,2026-01-23,Cristiane Lima Ribeiro,Santa Maria,Cleber Antunes,HIDRAULICA,Item 251,4,"R$ 74,95","R$ 37,31",WhatsApp,Faturado
90138,2026-03-11,Lucas Barcellos Bueno,Restinga Sêca,Rosane Pilla,Tintas ,Item 356,4,"R$ 295,91","R$ 46,94",Telefone,Faturado
90139,2026-08-25,Daniela Gomes,Restinga Sêca,Sergio Weber,JARDINAGEM ,Item 255,4,"R$ 57,01","R$ 0,00",Loja física,Faturado
90140,2026-07-20,Alexandre Menezes,Cachoeira do Sul,Ivan Bortolotto,HIDRAULICA,Item 350,1,"R$ 110,42","R$ 33,26",Telefone,Faturado
90141,2026-06-22,Sergio Weber,Restinga Sêca,Ivan Bortolotto,Tintas,Item 253,2,"R$ 319,92","R$ 0,00",Loja física,Faturado
90142,2026-01-29,Bianca Sartori Fontoura,Restinga Sêca,Marta Dutra,FERRAMENTAS,Item 166,5,"R$ 181,47","R$ 28,17",Telefone,Cancelado
90143,2026-08-19,Carla Bortolotto,Cachoeira do Sul,Sergio Weber,ELETRICA,Item 336,1,"R$ 59,45","R$ 39,80",WhatsApp,Cancelado
90144,2026-08-26,Sabrina Cardoso,Júlio de Castilhos,Marta Dutra,Ferramentas,Item 121,4,"R$ 239,48","R$ 0,00",Loja física,Faturado
90145,2026-07-02,Larissa Weber,São Sepé,Marta Dutra,Construção,Item 349,2,"R$ 272,26","R$ 0,00",Loja física,Faturado
90146,2026-02-20,Douglas Moraes Barcellos,Restinga Sêca,Rosane Pilla,Construção,Item 298,3,"R$ 247,91","R$ 0,00",Loja física,Faturado
90147,2026-08-20,Matheus Gomes Pereira,Júlio de Castilhos,Ivan Bortolotto,Jardinagem,Item 342,3,"R$ 119,98","R$ 0,00",Loja física,Faturado
90148,2026-03-23,Leticia Moraes Souza,Santa Maria,Cleber Antunes,Construção,Item 315,1,"R$ 285,94","R$ 27,95",WhatsApp,Faturado
90149,2026-02-23,Maria Bueno Souza,Restinga Sêca,Sergio Weber,Elétrica,Item 323,5,"R$ 96,98","R$ 29,13",Telefone,Faturado
90150,2026-06-15,Eduarda Marques Dutra,Cachoeira do Sul,Cleber Antunes,Tintas,Item 125,2,"R$ 168,73","R$ 0,00",Loja física,Faturado
90151,2026-05-27,Bruna Bortolotto,Santa Maria,Marta Dutra,Jardinagem,Item 368,1,"R$ 97,89","R$ 51,51",Telefone,Faturado
90152,2026-02-06,Leticia Dutra Pereira,Santa Maria,Rosane Pilla,Construção,Item 232,1,"R$ 377,93","R$ 0,00",Loja física,Faturado
90153,2026-03-12,Eduarda Carvalho,Santa Maria,Ivan Bortolotto,Elétrica,Item 142,4,"R$ 92,78","R$ 0,00",Loja física,Faturado
90154,2026-02-09,Nathalia Kunz Pereira,São Sepé,Marta Dutra,CONSTRUCAO,Item 320,2,"R$ 269,42","R$ 44,52",Telefone,Faturado
90155,2026-05-05,Rodrigo Moraes,Cachoeira do Sul,Rosane Pilla,FERRAMENTAS,Item 242,4,"R$ 199,79","R$ 43,03",WhatsApp,Cancelado
90156,2026-03-20,Maicon Marques Carvalho,São Sepé,Marta Dutra,FERRAMENTAS,Item 191,1,"R$ 245,76","R$ 57,54",WhatsApp,Faturado
90157,2026-01-26,Fernanda Carvalho Sartori,Restinga Sêca,Ivan Bortolotto,Hidráulica,Item 205,2,"R$ 100,36","R$ 63,10",WhatsApp,Faturado
90158,2026-06-24,Rafael Moraes,Santa Maria,Rosane Pilla,FERRAMENTAS,Item 265,1,"R$ 129,86","R$ 23,29",Telefone,Faturado
90159,2026-04-10,Vinicius Fagundes,Restinga Sêca,Cleber Antunes,ELETRICA,Item 255,3,"R$ 107,23","R$ 47,27",Site,Faturado
90160,2026-08-20,Renata Ribeiro,Santa Maria,Sergio Weber,Jardinagem,Item 349,2,"R$ 127,80","R$ 64,56",WhatsApp,Faturado
90161,2026-01-30,Maicon Carvalho,Santa Maria,Rosane Pilla,Construção,Item 291,2,"R$ 168,56","R$ 63,49",Site,Faturado
90162,2026-04-13,Gabriela Barcellos,Santa Maria,Sergio Weber,TINTAS,Item 205,1,"R$ 284,57","R$ 61,02",Telefone,Faturado
90163,2026-03-26,Paulo Trindade,Cachoeira do Sul,Ivan Bortolotto,CONSTRUCAO,Item 297,1,"R$ 221,57","R$ 0,00",Loja física,Faturado
90164,2026-06-29,Nathalia Feltrin,Júlio de Castilhos,Cleber Antunes,Elétrica,Item 144,2,"R$ 76,73","R$ 0,00",Loja física,Faturado
90165,2026-03-23,Thiago Pilla,Santa Maria,Ivan Bortolotto,JARDINAGEM,Item 142,1,"R$ 96,11","R$ 0,00",Loja física,Faturado
90166,2026-06-04,Camila Menezes,Júlio de Castilhos,Marta Dutra,TINTAS,Item 354,5,"R$ 154,21","R$ 0,00",Loja física,Cancelado
90167,2026-03-05,Bruna Vargas Souza,Santa Maria,Marta Dutra,Ferramentas,Item 148,3,"R$ 235,40","R$ 0,00",Loja física,Faturado
90168,2026-05-19,Vanessa Schneider Fontoura,Restinga Sêca,Ivan Bortolotto,FERRAMENTAS,Item 317,4,"R$ 166,08","R$ 38,26",Telefone,Faturado
90169,2026-03-13,Renata Barcellos,Restinga Sêca,Rosane Pilla,Ferramentas,Item 265,3,"R$ 121,50","R$ 34,32",WhatsApp,Faturado
90170,2026-03-27,Amanda Cardoso,Restinga Sêca,Ivan Bortolotto,JARDINAGEM,Item 232,1,"R$ 78,60","R$ 34,54",WhatsApp,Faturado
90171,2026-06-10,Pedro Zanella,Júlio de Castilhos,Sergio Weber,Ferramentas,Item 352,5,"R$ 88,10","R$ 0,00",Loja física,Faturado
90172,2026-01-28,Tatiane Bueno,Santa Maria,Cleber Antunes,Jardinagem,Item 161,2,"R$ 88,20","R$ 44,20",Telefone,Faturado
90173,2026-04-03,Willian Menezes,Cachoeira do Sul,Cleber Antunes,Tintas,Item 284,4,"R$ 301,03","R$ 28,75",Telefone,Faturado
90174,2026-08-03,Joao Vargas Carvalho,Santa Maria,Cleber Antunes,Elétrica,Item 165,2,"R$ 98,78","R$ 50,50",WhatsApp,Faturado
90175,2026-01-05,Adriana Lima Marques,Cachoeira do Sul,Rosane Pilla,Tintas,Item 300,6,"R$ 181,15","R$ 0,00",Loja física,Faturado
